order_id,customer_id,drink_id,store_id,qty,ordered_at,status
1,10612,3,4,3,2026-03-02T09:01:00+05:30,placed
2,1583,2,5,1,2026-03-03T09:02:00+05:30,placed
3,11983,10,1,3,2026-03-04T09:03:00+05:30,placed
4,7036,1,1,2,2026-03-05T09:04:00+05:30,placed
5,13703,2,2,1,2026-03-06T09:05:00+05:30,placed
6,18057,7,1,3,2026-03-07T09:06:00+05:30,placed
7,4057,4,6,3,2026-03-08T09:07:00+05:30,placed
8,19104,1,5,3,2026-03-09T09:08:00+05:30,placed
9,12999,1,2,1,2026-03-10T09:09:00+05:30,placed
10,18241,14,2,2,2026-03-11T09:10:00+05:30,placed
11,13735,3,5,1,2026-03-12T09:11:00+05:30,placed
12,18708,5,5,3,2026-03-13T09:12:00+05:30,placed
13,5923,2,5,3,2026-03-14T09:13:00+05:30,placed
14,6157,6,1,3,2026-03-15T09:14:00+05:30,placed
15,2058,10,1,3,2026-03-16T09:15:00+05:30,placed
16,6749,8,6,3,2026-03-17T09:16:00+05:30,placed
17,14012,13,3,2,2026-03-18T09:17:00+05:30,placed
18,19188,15,4,2,2026-03-19T09:18:00+05:30,placed
19,9823,4,2,3,2026-03-20T09:19:00+05:30,placed
20,7999,2,5,2,2026-03-21T09:20:00+05:30,placed
